,BusEq,Chems,Durbl,Enrgy,Hlth,Manuf,Money,NoDur,Other,Shops,Telcm,Utils
1965-06-30,0.07760202823055527,0.08062119035958401,0.08595199228703818,0.11571833165485315,0.039142845970099406,0.1192460705120637,0.040610780602455966,0.06461625928970344,0.09743337293544001,0.11043931533173026,,0.16861781282647662
1965-07-30,0.07476105862360721,0.14999986400949533,0.08186269960831077,0.11035166082184676,0.03820024774713271,0.061019767003337985,0.03951326619229334,0.06152618763730908,0.10689192414106727,0.11340873734904927,,0.16246458686655005
1965-08-31,0.04248012836921272,0.0852426314446478,0.08969305828736869,0.12119951034235475,0.07522997197129556,0.06331180867836408,0.07857937021000383,0.11363922241465309,0.11486925377898023,0.11392044797163388,,0.10183459653148536
1965-09-30,0.04008018300086457,0.08580347920442669,0.08827602223744874,0.12190578329503679,0.0752476281490577,0.11405129765116181,0.07618689906519023,0.06275924077962233,0.11570134081714148,0.1137182454949685,,0.1062698803050813
1965-10-29,0.07403889907099803,0.08505499099804815,0.08137431621484861,0.11021470999899777,0.03763096399885319,0.11495009329741084,0.039514714404915836,0.06234160138286278,0.09224708019615833,0.11740197396044245,,0.1852306564764641
1965-11-30,0.041885138719364425,0.08608195557899836,0.08550312182981783,0.11867464963345283,0.07650195523505819,0.06384387030887625,0.07824549091513344,0.11109907297843422,0.11195830427913339,0.12104293108576088,,0.10516350943597019
1965-12-31,0.07326888385647562,0.08289591887748274,0.07632733818232013,0.10742240483657917,0.03771521460332723,0.11258033076355771,0.04201568018560574,0.06595700934951013,0.10443624607886286,0.1224885838773309,,0.17489238938894797
1966-01-31,0.0394854909804221,0.08119965874841772,0.08183192187549557,0.11528398513577012,0.07428850973706687,0.05947432481174128,0.07860786853915701,0.11097788073746997,0.10731182206309697,0.061612369813926704,,0.18992616755743566
1966-02-28,0.06962774186218347,0.08387093059422811,0.08418408163236518,0.1213592723262315,0.07291449932573893,0.05944745736443705,0.047079454933295475,0.10999718404754108,0.10833193565660465,0.05950632178646933,,0.1836811204709052
1966-03-31,0.06939742492745103,0.08166149094660534,0.08171037908952901,0.11730082170557009,0.0728461709662282,0.05965482652604801,0.04732875861592075,0.11605742702986073,0.10794454015541766,0.060195785134041564,,0.18590237490332762
1966-04-29,0.0681803270178272,0.08237429352895691,0.0814327544618831,0.1197695629839693,0.07267830281484733,0.05913554211878386,0.04764702271359159,0.11608727465826538,0.10745490252669301,0.05988980591568055,,0.1853502112595018
1966-05-31,0.06952443185682765,0.08410519108449042,0.07702593624641049,0.11971092023695006,0.07375220677396127,0.05905237754468043,0.0492803841604942,0.11784127480535272,0.10028912504829937,0.061612926262970935,,0.18780522597956226
1966-06-30,0.03667356577366473,0.0807589226970583,0.0697688547380108,0.10813628533872345,0.03850277109192963,0.11315598442666147,0.08686938676030158,0.06968238796411509,0.0987847616630339,0.12553390137240447,,0.17213317817409662
1966-07-29,0.03661529749847484,0.07983951947998702,0.06902988656318632,0.11199061590054471,0.03837091878595127,0.11428354937436712,0.08671040783233465,0.06891851453381204,0.09911835513307678,0.12331831742972245,,0.1718046174685428
1966-08-31,0.07406705300375843,0.084993644019866,0.0764082255043212,0.12034682411900084,0.0776405856471421,0.06031533776034151,0.051023670064151594,0.12220091075197388,0.09423801365686843,0.06354431102806678,,0.17522142444450922
1966-09-30,0.04225415745288414,0.08429322093752302,0.11726629059909088,0.19212359864393158,0.07593098779676914,0.058291803996131465,0.0918087627786047,0.06764396369801388,0.0892708138226892,0.07489879324900099,,0.106217607025361
1966-10-31,0.07833575713285415,0.0877767796978328,0.07349557197411263,0.10939858912536127,0.07993513163796442,0.12140535287843088,0.09393760302616727,0.07659865866634193,0.055809361575160345,0.1268548969993824,,0.0964522972863919
1966-11-30,0.07340513153844647,0.0870209135617031,0.11657719994548253,0.10137907675094465,0.07700752207158439,0.0682779727383942,0.05083443149471922,0.12927525515496818,0.052005176704270364,0.1401077668760102,,0.10410955316347671
1966-12-30,0.0717539645673423,0.0844188901744048,0.07586254155751411,0.11597771259791183,0.07626859374963975,0.11649080751894102,0.0985255748432852,0.07664083445177285,0.08524541052595887,0.09023962719059761,,0.10857604282263184
1967-01-31,0.06847297397107958,0.12648038908262155,0.11278468284557346,0.19429216112659767,0.041602708728754864,0.05320697062889906,0.05188770917497179,0.06345952685645354,0.048669318658876526,0.13027077548274577,,0.10887278344342621
1967-02-28,0.0675197165581278,0.12849756520249367,0.10965100847220438,0.1879843646506962,0.0418556274363586,0.05267123428664202,0.05337781766142612,0.06556122756587655,0.047339629242706675,0.1388226168840129,,0.10671919203945524
1967-03-31,0.07537394401692216,0.0799971305587984,0.05491719322904964,0.20129201831828522,0.07604861318197652,0.05567561368845654,0.056637196230198875,0.1214487181998704,0.04257695442530446,0.07730844581174134,,0.15872417233939656
1967-04-28,0.07513073258529522,0.07968885277137631,0.05143302750080965,0.20525044441378354,0.07715333556671025,0.056571283475700465,0.057867231655270926,0.12101309834268459,0.043328803009355675,0.07167319317271918,,0.16088999750629418
1967-05-31,0.07218443706923182,0.12511705348029895,0.0991931871545279,0.19564372983425463,0.04496615713628208,0.055017555132222326,0.057611570370467276,0.06671644686787818,0.049194715320350135,0.12627758685142945,,0.10807756078305719
1967-06-30,0.08025518758083995,0.07647993778227796,0.04944607399224406,0.18186251663177846,0.046532715980143226,0.0635455851863444,0.1071010710071508,0.14290409516136743,0.0411859266014174,0.11816945345204001,,0.09251743662439627
