,regime,prob_bear,prob_bull,log_return,downside_dev,regime_label
1972-08-31,1,4.488663179481651e-06,0.9999955113368205,-0.02037144043838369,0.006997300876998632,Bull
1972-09-29,1,1.904505786027568e-06,0.9999980954942139,0.01042905872000788,0.006997300876998632,Bull
1972-10-31,1,2.2696427359312717e-09,0.9999999977303573,0.0663900622134793,0.006997300876998632,Bull
1972-11-30,1,4.454515284647841e-30,1.0,-0.0015803260086251266,0.009491857107672636,Bull
1972-12-29,1,7.456504987985135e-33,1.0,-0.0479949395866682,0.02334694855260039,Bull
1973-01-31,1,4.318540140666062e-31,1.0,-0.040513719923257946,0.020912454966115223,Bull
1973-02-28,1,9.281791533302186e-42,1.0,-0.015709245685767915,0.021570327819845705,Bull
1973-03-30,1,3.0359601627803216e-37,1.0,-0.04796885304891791,0.021013693042500472,Bull
1973-04-30,1,2.9447896704033106e-36,1.0,-0.02375312504729501,0.01901124887488703,Bull
1973-05-31,1,5.353178068700479e-15,0.9999999999999947,-0.023932530344691918,0.013939012352755622,Bull
1973-06-29,1,4.794819339357e-22,1.0,0.07168972767932738,0.01334893533506741,Bull
1973-07-31,1,1.7858101242677877e-14,0.9999999999999822,-0.01884753541818686,0.012737757135866647,Bull
1973-08-31,1,5.047205852939207e-15,0.9999999999999949,0.07526696804928475,0.01310900327260089,Bull
1973-09-28,1,0.04783605912402274,0.9521639408759772,-0.0079571274115438,0.007490450565046027,Bull
1973-10-31,1,0.2312003926542816,0.7687996073457184,-0.14191784789212442,0.06285696942245647,Bull
1973-11-30,1,2.7816987317016426e-80,1.0,0.016323097225249102,0.07439800336776523,Bull
1973-12-31,1,2.096547430984999e-75,1.0,0.027733572261283826,0.07439800336776523,Bull
1974-01-31,1,3.2099217173312697e-86,1.0,0.004291896087342259,0.09472453386445417,Bull
1974-02-28,1,1.25329251880307e-26,1.0,-0.020600765034377248,0.07396302093741086,Bull
1974-03-29,1,6.86992018293569e-06,0.999993130079817,-0.05485411373617145,0.06254494423423133,Bull
1974-04-30,0,0.9180637014344979,0.08193629856550212,-0.04910002035605813,0.018342160186321777,Bear
1974-05-31,1,0.00016980021542727807,0.9998301997845728,-0.021596709448903552,0.017986309603564562,Bull
1974-06-28,1,0.0020501775342694423,0.9979498224657305,-0.0709053900758563,0.021882763655841086,Bull
1974-07-31,1,0.031032216986453327,0.9689677830135467,-0.10118284618011947,0.030648669579474836,Bull
1974-08-30,1,5.524501756869918e-62,1.0,-0.1092027138686436,0.03313690256728279,Bull
1974-09-30,1,4.278822862268594e-35,1.0,0.1629312905730225,0.036362549115607073,Bull
1974-10-31,1,7.148037448810764e-48,1.0,-0.03329461370270658,0.03924926880463517,Bull
1974-11-29,1,2.1038729383579296e-47,1.0,-0.02448626501371052,0.038421813050691,Bull
1974-12-31,1,5.66569288503315e-28,1.0,0.16712289093032076,0.044320799606659106,Bull
1975-01-31,1,4.604856303981838e-34,1.0,0.05420785134551461,0.04657700323839967,Bull
1975-02-28,1,8.306707961485162e-92,1.0,0.04665020373088099,0.006228443089044752,Bull
1975-03-31,1,1.220854863425682e-89,1.0,0.049438023657462304,0.006228443089044752,Bull
1975-04-30,1,1.5240140741672711e-61,1.0,0.0535445661944035,0.030779668115719864,Bull
1975-05-30,1,4.828223775870279e-67,1.0,0.061732862274516666,0.02341208684172086,Bull
1975-06-30,1,2.448769638331923e-77,1.0,-0.060660123983315425,0.02336473756568577,Bull
1975-07-31,1,1.2179789218527935e-65,1.0,-0.01879230125628297,0.029605021363800898,Bull
1975-08-29,1,4.740569426770178e-75,1.0,-0.03552360967383033,0.021074058353404767,Bull
1975-09-30,1,5.741352390487647e-66,1.0,0.052723781629317,0.021074058353404767,Bull
1975-10-31,1,2.8852002199037133e-67,1.0,0.02724143732327221,0.021074058353404767,Bull
1975-11-28,1,1.709288949159607e-65,1.0,-0.003313482222410042,0.02454658680154602,Bull
1975-12-31,1,2.7739547193167348e-62,1.0,0.12434179899598283,0.016109121797309008,Bull
1976-01-30,1,8.662783346613675e-65,1.0,0.0066374799070547975,0.022775999543782253,Bull
1976-02-27,1,3.4550534002561844e-62,1.0,0.024630523139072633,0.023079829154702337,Bull
1976-03-31,1,5.137875698845281e-82,1.0,-0.0131563466878568,0.006959956209817505,Bull
1976-04-30,1,7.54531991097047e-83,1.0,-0.007925298763899313,0.004924677571175743,Bull
1976-05-28,1,4.352970514851226e-77,1.0,0.058128203411636624,0.003698909459742151,Bull
1976-06-30,1,8.861374776139424e-84,1.0,-0.010152697355776922,0.002625105590890336,Bull
1976-07-30,1,5.6377549150858625e-80,1.0,-0.00240740172248931,0.004539857617582541,Bull
1976-08-31,0,0.9999559464425261,4.405355747390175e-05,0.02579434316911639,0.004539857617582541,Bear
1976-09-30,0,0.999999951660256,4.833974402264208e-08,-0.023339458482314227,0.008874289106380185,Bear
1976-10-29,0,0.9999999430101766,5.698982336467657e-08,0.02089947132460184,0.01058325149825509,Bear
1976-11-30,0,0.9999999999999463,5.374423882725187e-14,0.058886278534260754,0.01058325149825509,Bear
1976-12-31,0,0.9999999999999134,8.655881720201364e-14,-0.03933925269470782,0.01852073626717556,Bear
1977-01-31,0,0.9999999999998495,1.5053031652310413e-13,-0.016097315846760746,0.011892782637918153,Bear
1977-02-28,0,0.9999999945151226,5.484877486751109e-09,-0.0008373695199155546,0.015995402075835878,Bear
1977-03-31,0,0.9999999918214066,8.178593312270762e-09,0.009632201010353074,0.019388349587434836,Bear
1977-04-29,0,0.9999999911008255,8.899174533645714e-09,-0.009852667453374729,0.016444802973198863,Bear
