,HRP_60m
1965-01-29,
1965-02-26,
1965-03-31,
1965-04-30,
1965-05-28,
1965-06-30,0.017969722118137632
1965-07-30,0.028267799884280187
1965-08-31,0.025809644689563704
1965-09-30,0.03054923687751221
1965-10-29,0.005697104178299828
1965-11-30,0.014885109601946
1965-12-31,0.0015695139372298161
1966-01-31,-0.014181029684272484
1966-02-28,-0.01968712334818412
1966-03-31,0.01975298134484693
1966-04-29,-0.04985626973304591
1966-05-31,-0.013308737973914853
1966-06-30,-0.012517286324599697
1966-07-29,-0.08199260090605964
1966-08-31,-0.002691344873027912
1966-09-30,0.054001295224484824
1966-10-31,0.024499044930371694
1966-11-30,-0.008214934001163687
1966-12-30,0.08369569413823497
1967-01-31,0.0049103099984277865
1967-02-28,0.03643594615388279
1967-03-31,0.04223198796576377
1967-04-28,-0.04313143986102452
1967-05-31,0.01650913577450397
1967-06-30,0.056356087827104995
1967-07-31,-0.008067147933459862
1967-08-31,0.027898637600316967
1967-09-29,-0.03514659800445641
1967-10-31,0.0036189593853068747
1967-11-30,0.037030091504254514
1967-12-29,-0.024252321455839332
1968-01-31,-0.02775638249506951
1968-02-29,0.0020605904896378036
1968-03-29,0.06882746331467815
1968-04-30,0.012800940972757857
1968-05-31,0.026154845255170756
1968-06-28,-0.01444679333022203
1968-07-30,0.013480005127701533
1968-08-30,0.04007442172485853
1968-09-30,0.011137623262246876
1968-10-31,0.06167719206704758
1968-11-29,-0.04242003892619728
1968-12-31,-0.0038147451581582725
1969-01-31,-0.04958011476030422
1969-02-28,0.026286086657918872
1969-03-28,0.03188144459499154
1969-04-30,0.008325535504278392
1969-05-29,-0.05786997044761977
1969-06-30,-0.059351327439687074
1969-07-31,0.04833114800318983
1969-08-29,-0.02957264469361076
1969-09-30,0.05645459671102859
1969-10-31,-0.025009962698139043
1969-11-28,-0.015501023792718449
1969-12-31,-0.07071490771730327
1970-01-30,0.06772239278304637
1970-02-27,0.002227877309490367
1970-03-31,-0.09421605602520944
1970-04-30,-0.053907170319339226
1970-05-29,-0.051170426705474004
1970-06-30,0.08200858790146759
1970-07-31,0.039897326836380476
1970-08-31,0.03485440850845456
1970-09-30,-0.006065184889700204
1970-10-30,0.057238472948542674
1970-11-30,0.06008203803719381
1970-12-31,0.04732498823559528
1971-01-29,0.013751642890612148
1971-02-26,0.0426059344280576
1971-03-31,0.030114032052939166
1971-04-30,-0.0348132699360002
1971-05-28,0.012771224526074931
1971-06-30,-0.037798945205333334
1971-07-30,0.03715920087695834
1971-08-31,-0.0023879942201378013
1971-09-30,-0.03325217547028403
1971-10-29,0.00212641971899985
1971-11-30,0.08425060412534546
1971-12-31,0.017246884946101826
1972-01-31,0.02643921682931416
1972-02-29,0.006538733611570979
1972-03-30,0.004079953442021056
1972-04-28,0.01843971762504104
1972-05-31,-0.021894141119760735
1972-06-30,-0.0011005648049926542
1972-07-31,0.03977796715973003
1972-08-31,-0.0023749220606029686
1972-09-29,0.017013611688966757
1972-10-31,0.05244681800519402
1972-11-30,0.012683513312509609
1972-12-29,-0.029869693585223067
1973-01-31,-0.029463033293045116
1973-02-28,-0.00607157777971068
1973-03-30,-0.04156562619629778
1973-04-30,-0.00991090134095407
1973-05-31,-0.011783208739977291
1973-06-29,0.052136783125148245
1973-07-31,-0.032347939574745355
1973-08-31,0.048515871773354036
1973-09-28,-0.011093285125447161
1973-10-31,-0.11241086980462989
1973-11-30,0.00909090245108124
1973-12-31,0.00018139156725616168
1974-01-31,0.0046560580100609705
1974-02-28,-0.017362307106886354
1974-03-29,-0.03941745276652442
1974-04-30,-0.02016175422928468
1974-05-31,-0.015538081728188491
1974-06-28,-0.08827449840353052
1974-07-31,-0.08153031045488812
1974-08-30,-0.10911134506305153
1974-09-30,0.17623899881726324
1974-10-31,-0.042328705854756676
1974-11-29,-0.01540588090749806
1974-12-31,0.13029264174093402
1975-01-31,0.06731838895084818
1975-02-28,0.02432728837618159
1975-03-31,0.03590124567677111
1975-04-30,0.05206926460235328
1975-05-30,0.0542872872678819
1975-06-30,-0.0661751194683331
1975-07-31,-0.02431411983908538
1975-08-29,-0.032368883511429525
1975-09-30,0.06939928303039089
1975-10-31,0.033021758810719115
1975-11-28,-0.00793630493234554
1975-12-31,0.11310788671381178
1976-01-30,-0.005986659144559647
1976-02-27,0.029502818577971546
1976-03-31,-0.009958427324409658
1976-04-30,-0.01782048061439967
1976-05-28,0.043416156516533855
1976-06-30,-0.0027760314426177324
1976-07-30,0.01178868283576362
1976-08-31,0.024709827881006508
1976-09-30,-0.01462186003457655
1976-10-29,-0.001062875645751915
1976-11-30,0.054261209439093516
1976-12-31,-0.04549680262386424
1977-01-31,-0.014693192041532521
1977-02-28,-0.013967894915217882
1977-03-31,-0.0015549362026006097
1977-04-29,-0.00907556561069478
1977-05-31,0.045495535056480074
1977-06-30,-0.01457966038171521
1977-07-29,-0.00713669244765569
1977-08-31,0.005749761005843679
1977-09-30,-0.04304763450274607
1977-10-31,0.035111050308394454
1977-11-30,0.005580406813701755
1977-12-30,-0.0567478639700959
1978-01-31,-0.0071136321349003495
1978-02-28,0.0288903345706355
1978-03-31,0.08094610959534831
1978-04-28,0.010004510090219298
1978-05-31,-0.014887908793364768
1978-06-30,0.05170326058536068
1978-07-31,0.03399870312482345
1978-08-31,-0.0031603594873337304
1978-09-29,-0.08864258976516504
1978-10-31,0.02890327361678069
1978-11-30,0.008344554578205265
1978-12-29,0.04120211617901948
1979-01-31,-0.02653136986910387
1979-02-28,0.047785894977896426
1979-03-30,-0.0032117787735144177
