,hrp_turnover,rf_rate,hrp_return,predicted_regime,prob_bull,actual_regime,financing_spread,allocation_binary,regime_binary_return,allocation_prob,regime_prob_return,allocation_prob_scaled,regime_prob_scaled_return,prob_scale_factor,inner_cost_stage1,outer_cost_stage2,turnover_NoDur,turnover_Durbl,turnover_Manuf,turnover_Enrgy,turnover_Chems,turnover_BusEq,turnover_Telcm,turnover_Utils,turnover_Shops,turnover_Hlth,turnover_Money,turnover_Other,inner_cost,outer_cost_buyhold,financing_cost_buyhold,hrp_return_net,outer_cost_binary,financing_cost_binary,regime_binary_return_net,outer_cost_prob,financing_cost_prob,regime_prob_return_net,outer_cost_scaled,financing_cost_scaled,regime_prob_scaled_return_net
1989-03-31,0.11823852,0.0067,0.0506619493427407,1,0.5824516,1,0.0004166666666666667,1.0,0.0506619493427407,0.5824516,0.032305706940502964,0.875608,0.0451934357262514,1.5033147,6.400280777341738e-05,0.00011823853,0.04605325683951378,0.07184075564146042,0.05250291898846626,0.03355615586042404,0.08679963648319244,0.06302539259195328,0.04541474208235741,0.09173884987831116,0.0609772689640522,0.07296067476272583,0.07627975195646286,0.06922871619462967,0.0001822413390593143,0.0,0.0,0.05047970800368139,0.0,0.0,0.05047970800368139,0.00013337172,0.0,0.032066188461502214,0.00020049966,0.0,0.04483336408286247
1989-04-30,0.021883927,0.0067,0.0362442410037588,1,0.5781423,1,0.0004166666666666667,1.0,0.0362442410037588,0.5781423,0.02378077501275521,0.86912984,0.032377781354865326,1.5033147,6.323203874855759e-05,2.1883929e-05,0.060466963797807693,0.10143493115901947,0.05231597274541855,0.032443683594465256,0.041537947952747345,0.06788472831249237,0.035405196249485016,0.09186924993991852,0.07081498950719833,0.0642453134059906,0.09737630933523178,0.0804235190153122,8.511596738755694e-05,0.0,0.0,0.03615912503637125,0.0,0.0,0.03615912503637125,8.618594e-06,0.0,0.023722947279139543,1.2956381e-05,0.0,0.032290848146644104
1989-05-31,0.044966016,0.0079,-0.0035249279334087,1,0.70799255,1,0.0004166666666666667,1.0,-0.0035249279334087,0.70799255,-0.00018876390353744863,1.0643356,-0.004259957351480162,1.5033147,5.85301903703779e-05,4.496602e-05,0.08309643715620041,0.029825318604707718,0.06360065191984177,0.051192756742239,0.04664207622408867,0.07534950971603394,0.05755724385380745,0.062120221555233,0.05255162715911865,0.04084541276097298,0.06696844100952148,0.08277484774589539,0.00010349620869253465,0.0,0.0,-0.0036284241421012347,0.0,0.0,-0.0036284241421012347,0.00025970055,0.0,-0.0005217390000253122,0.00039041153,2.6806494e-05,-0.004787330072625152
1989-06-30,0.07444361,0.0070999999999999995,0.0768978369557138,1,0.6444078,1,0.0004166666666666667,1.0,0.0768978369557138,0.6444078,0.05207827117026201,0.96874774,0.07471649646038718,1.5033147,7.479667691910505e-05,7.444361e-05,0.07694303244352341,0.09086629003286362,0.06647307425737381,0.047462914139032364,0.05035477504134178,0.1285868138074875,0.05899737775325775,0.10301010310649872,0.05917281657457352,0.047345202416181564,0.095866359770298,0.07969336211681366,0.0001492402880026573,0.0,0.0,0.07674859666771114,0.0,0.0,0.07674859666771114,0.0001271695,0.0,0.0518549300705175,0.00019117571,0.0,0.07438074455585726
1989-07-31,0.13366938,0.006999999999999999,0.0213418123358595,1,0.6955722,1,0.0004166666666666667,1.0,0.0213418123358595,0.6955722,0.016975765921686974,1.045664,0.021996716177824383,1.5033147,7.88501065182019e-05,0.00013366938,0.06723234057426453,0.06919779628515244,0.07829901576042175,0.03710709884762764,0.04761213809251785,0.079901322722435,0.0925711989402771,0.08194240927696228,0.08309777081012726,0.1563476324081421,0.07088514417409897,0.11369220167398453,0.00021251948871225902,0.0,0.0,0.021129292847147242,0.0,0.0,0.021129292847147242,0.000102328784,0.0,0.01672561448980161,0.00015383244,1.9026647e-05,0.021601633118678763
1989-08-31,0.0964461,0.0074,0.0025401428289961,1,0.72820514,1,0.0004166666666666667,1.0,0.0025401428289961,0.72820514,0.0038610270069996564,1.0947216,0.002079809597230994,1.5033147,7.972130351729573e-05,9.64461e-05,0.0644131749868393,0.10838469862937927,0.06033206731081009,0.05101991072297096,0.07887084037065506,0.06397099792957306,0.0759986937046051,0.12205107510089874,0.0735824778676033,0.07401011139154434,0.07217894494533539,0.09996110200881958,0.00017616740315018104,0.0,0.0,0.0023639754258459192,0.0,0.0,0.0023639754258459192,6.52659e-05,0.0,0.003667475097701199,9.811521e-05,3.9467315e-05,0.0017493728167848846
1989-09-30,0.032403585,0.006500000000000001,-0.0176638266094921,1,0.75971013,1,0.0004166666666666667,1.0,-0.0176638266094921,0.75971013,-0.011857503929115724,1.1420834,-0.021097105406996365,1.5033147,8.20382899555193e-05,3.2403586e-05,0.1393163502216339,0.06652211397886276,0.058478567749261856,0.073166623711586,0.08803242444992065,0.07217969000339508,0.11238556355237961,0.07558339834213257,0.07512186467647552,0.059556301683187485,0.07257600128650665,0.10663050413131714,0.0001144418763296494,0.0,0.0,-0.01777826848582175,0.0,0.0,-0.01777826848582175,6.300998e-05,0.0,-0.012007456564325282,9.4723706e-05,5.9201422e-05,-0.021381732702916247
1989-10-31,0.03944887,0.0068000000000000005,0.023321436561303,1,0.8534789,1,0.0004166666666666667,1.0,0.023321436561303,0.8534789,0.020900697643834214,1.2830474,0.027997786846571695,1.5033147,6.965166847167782e-05,3.944887e-05,0.07015010714530945,0.0589749850332737,0.06369426846504211,0.033093541860580444,0.07224519550800323,0.0708111897110939,0.05560794472694397,0.06808402389287949,0.06968465447425842,0.13843335211277008,0.08759859204292297,0.08747939765453339,0.00010910053913777008,0.0,0.0,0.02321233602216523,0.0,0.0,0.02321233602216523,0.00018753756,0.0,0.020620045074646896,0.00028192808,0.00011793643,0.027457941167818425
1989-11-30,0.012764066,0.0069,0.0294456036992589,1,0.86194587,0,0.0004166666666666667,1.0,0.0294456036992589,0.86194587,0.02633308993973585,1.2957759,0.036114049706893164,1.5033147,6.801712735745392e-05,1.2764067e-05,0.07477527856826782,0.0603119321167469,0.06877240538597107,0.05080833286046982,0.16142109036445618,0.09268397092819214,0.03657623007893562,0.052134837955236435,0.07749458402395248,0.06497884541749954,0.06989087164402008,0.10971444845199585,8.078119428086363e-05,0.0,0.0,0.029364822504978037,0.0,0.0,0.029364822504978037,1.6933918e-05,0.0,0.02624652700491854,2.5456906e-05,0.00012323995,0.03586067852530025
1989-12-31,0.10072111,0.0060999999999999995,-0.064921857569681,1,0.7183825,0,0.0004166666666666667,1.0,-0.064921857569681,0.7183825,-0.044920858016047616,1.079955,-0.07060040889934359,1.5033147,6.042071876531919e-05,0.00010072112,0.06320934742689133,0.06241374835371971,0.0701168105006218,0.04119722545146942,0.04937662556767464,0.06882551312446594,0.052572134882211685,0.06427913904190063,0.06738638877868652,0.05560944974422455,0.07608819007873535,0.0978889912366867,0.0001611418363982484,0.0,0.0,-0.06508299940607924,0.0,0.0,-0.06508299940607924,0.00028712678,0.0,-0.04532374626660802,0.00043164185,3.3314576e-05,-0.0712393912536148
